"unitid","revenue","expenditure","enrollment","partic","women"
154776,378.991,420.578,76.5,36,0
154800,2394.897,2376.776,1560.2,405,0
154855,5499.038,5462.006,403.785714285714,490,0
154907,2067.367,1965.227,395.769230769231,525,0
154925,3056.759,2963.756,570.4,581,0
154934,1447.403,1393.148,188.916666666667,275,0
154952,4266.162,4252.727,630.52380952381,626,0
154998,2567.539,2488.34,451.826086956522,494,0
155025,4151.448,4151.448,1249.6,766,0
155061,6986.097,6639.641,2321,927,0
155070,195.694,195.508,88.3333333333333,95,0
155089,5524.899,4732.574,434.130434782609,658,0
155098,2051.893,2045.974,436.846153846154,366,0
155104,2813.98,2813.98,573.272727272727,458,0
155140,599.591,539.95,333.8,190,0
155177,2208.001,2204.534,155.368421052632,255,0
155186,1139.136,1448.189,528.4,393,0
155195,3037.746,3037.746,1012.8,440,0
155201,953.702,953.702,290.6,79,0
